id,title,goal,level,days_per_week,description,equipment
36,Strength Foundation,strength,intermediate,4,4-day upper/lower split focusing on progressive overload,gym
37,PHUL Strength,strength,intermediate,4,Power Hypertrophy Upper Lower with strength emphasis,gym
38,4-Day PPL Strength,strength,intermediate,4,4-day PPL with strength focus on compound lifts,gym
39,Tactical Strength,strength,advanced,5,5-day plan for functional fitness and athletic performance,gym
40,Advanced Powerlifting,strength,advanced,5,5-day program focused on Squat, Bench, Deadlift,gym
41,5-Day Full Body Strength,strength,advanced,5,High-frequency 5-day full-body for advanced lifters,gym
42,3-Day Endurance Foundation,endurance,beginner,3,Build basic aerobic base with runs, cycling, or swimming,outdoors
43,Base Building,endurance,beginner,3,Base training plan for new runners or cyclists,outdoors
44,Cardio Kickstart,endurance,beginner,3,Low-impact steady-state cardio for cardiovascular health,home
45,4-Day Stamina Builder,endurance,intermediate,4,Mixes steady-state runs, interval training, recovery,outdoors
46,Muscular Endurance Circuit,endurance,intermediate,4,Circuit training with high repetitions,gym
47,Advanced Run Training,endurance,advanced,5,Speed work, tempo runs, long slow distance,outdoors
48,5-Day Endurance Focus,endurance,advanced,5,Concurrent training with emphasis on cardiovascular endurance,gym
49,Competitor's Base,endurance,advanced,6,High-volume plan for competitive endurance athletes,outdoors
50,3-Day Flexibility,mobility,beginner,3,Static and dynamic stretching to improve range of motion,home
51,Morning Mobility,mobility,beginner,3,Gentle routine to improve joint mobility and flexibility,home
52,Yoga for Beginners,mobility,beginner,3,Yoga routine for flexibility, balance, and core strength,yoga mat
53,Intermediate Mobility Flow,mobility,intermediate,4,Blends yoga and Pilates for core strength and flexibility,yoga mat
54,Yoga-Pilates Fusion,mobility,intermediate,4,Fusion workout combining Pilates strength with Yoga flexibility,yoga mat
55,4-Day Flexibility Challenge,mobility,intermediate,4,Program to significantly increase overall body flexibility,home
56,Advanced Deep Stretch,mobility,advanced,5,Deep stretching and myofascial release,yoga mat
57,5-Day Mobility Peak,mobility,advanced,5,High-frequency plan to unlock peak mobility,yoga mat
58,Full Body ROM,mobility,advanced,5,Dedicated to improving full body range of motion,yoga mat
59,The Flexibility Protocol,mobility,advanced,5,Science-based protocol for maximum flexibility,yoga mat
60,Sprint Intervals,performance,beginner,3,Basic sprint interval training for power and speed,outdoors
61,Agility Ladder Drills,performance,beginner,3,Footwork and coordination drills for athletic performance,home
62,Power Clean Foundation,performance,intermediate,4,Learn and practice Olympic lifting for explosive power,gym
63,Plyometric Circuit,performance,intermediate,4,Box jumps, broad jumps, and plyo push-ups,gym
64,Advanced Speed & Power,performance,advanced,5,Complex training with sprints, plyos, and Olympic lifts,gym
65,Competitive Athlete Prep,performance,advanced,5,Sport-specific conditioning and power development,gym
66,Beginner Athletic Foundation,performance,beginner,3,Foundational movements for coordination and basic power,home
67,Intermediate Explosive Training,performance,intermediate,4,Kettlebell swings, box jumps, and medicine ball throws,gym
68,Advanced Olympic Lifting,performance,advanced,5,Full Olympic lifting program with snatch and clean & jerk,gym
69,Sports Conditioning Circuit,performance,intermediate,4,High-intensity circuit mimicking game-like demands,gym
